Lat1,Long1,Lat2,Long2,Pop_left,Pop_right,Percent_left,Percent_right
44.0,-93.2,40.6,-89.6,125164755.0,123943428.0,0.5024513987964819,0.49754860120351807
40.0,-105.2,39.5,-85.1,124072595.0,125035588.0,0.49806711889508665,0.5019328811049134
32.9,-80.1,41.3,-93.1,125527623.0,123580560.0,0.503908067122789,0.49609193287721104
41.5,-73.1,32.4,-111.2,125571161.0,123537022.0,0.5040828425937337,0.49591715740626635
30.4,-89.1,42.4,-83.2,124002004.0,125106179.0,0.4977837440209662,0.5022162559790339
34.8,-82.4,42.1,-94.9,124978086.0,124130097.0,0.5017020496673126,0.49829795033268737
33.9,-84.1,37.7,-87.1,125730457.0,123377726.0,0.5047223077372773,0.49527769226272267
36.0,-115.0,40.2,-85.4,124141800.0,124966383.0,0.4983449299214711,0.5016550700785289
39.8,-104.9,40.0,-84.7,125270477.0,123837706.0,0.502875800751997,0.49712419924800305
35.2,-80.7,41.2,-96.0,124427039.0,124681144.0,0.49948997058840094,0.5005100294115991
34.6,-80.5,34.2,-79.8,124268511.0,124839672.0,0.498853588442737,0.501146411557263
39.0,-77.0,40.2,-89.4,125335965.0,123772218.0,0.5031386905503622,0.4968613094496378
40.9,-84.6,34.7,-86.0,125137572.0,123970611.0,0.5023422775316859,0.4976577224683141
40.8,-73.9,40.7,-80.2,124560434.0,124547749.0,0.5000254608255884,0.49997453917441165
39.2,-84.7,37.9,-85.9,123457025.0,125651158.0,0.4955960238367601,0.5044039761632398
41.4,-82.1,39.1,-84.6,124838414.0,124269769.0,0.501141361542507,0.498858638457493
40.3,-74.8,34.0,-118.2,123996620.0,125111563.0,0.49776213092124716,0.5022378690787528
40.2,-87.6,40.1,-83.7,125212587.0,123895596.0,0.5026434117581757,0.4973565882418242
35.2,-97.4,40.2,-84.1,125707630.0,123400553.0,0.5046306728510801,0.49536932714891985
45.5,-122.4,35.2,-80.8,123949881.0,125158302.0,0.49757450561148364,0.5024254943885164
41.9,-87.7,26.7,-81.7,124786221.0,124321962.0,0.5009318421306136,0.4990681578693864
36.2,-95.2,41.1,-80.6,124908689.0,124199494.0,0.5014234678914582,0.49857653210854175
38.0,-87.5,42.9,-76.7,124536744.0,124571439.0,0.49993036158109666,0.5000696384189033
